Material	Zone	Year	Price [$/unit]	Billable?	Quantity [unit]
Electricity (Industrial) [kWh]	East North Central	2050	0.0268247814	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2049	0.0268869199	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2048	0.026818966	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2047	0.0268396521	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2046	0.026847261	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2045	0.0268375133	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2044	0.0267968364	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2043	0.0267912125	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2042	0.026791875	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2041	0.0268118425	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2040	0.0269937228	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2039	0.0270731081	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2038	0.0270385202	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2037	0.0270689089	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2036	0.027169473	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2035	0.0270688709	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2034	0.0271468359	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2033	0.0272881506	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2032	0.0274250629	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2031	0.027578439	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2030	0.0276492473	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2029	0.0276990928	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2028	0.0277080056	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2027	0.0275619256	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2026	0.0275786735	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2025	0.0275501925	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2024	0.0276235419	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2023	0.0275192822	True	Infinity
Electricity (Industrial) [kWh]	East North Central	2022	0.027491	True	Infinity
