Material	Zone	Year	Price [$/unit]	Billable?
GHG-100 [g]	USA	2000	-50e-9	True
GHG-100 [g]	USA	2001	-50e-9	True
GHG-100 [g]	USA	2002	-50e-9	True
GHG-100 [g]	USA	2003	-50e-9	True
GHG-100 [g]	USA	2004	-50e-9	True
GHG-100 [g]	USA	2005	-50e-9	True
GHG-100 [g]	USA	2006	-50e-9	True
GHG-100 [g]	USA	2007	-50e-9	True
GHG-100 [g]	USA	2008	-50e-9	True
GHG-100 [g]	USA	2009	-50e-9	True
GHG-100 [g]	USA	2010	-50e-9	True
GHG-100 [g]	USA	2011	-50e-9	True
GHG-100 [g]	USA	2012	-50e-9	True
GHG-100 [g]	USA	2013	-50e-9	True
GHG-100 [g]	USA	2014	-50e-9	True
GHG-100 [g]	USA	2015	-50e-9	True
GHG-100 [g]	USA	2016	-50e-9	True
GHG-100 [g]	USA	2017	-50e-9	True
GHG-100 [g]	USA	2018	-50e-9	True
GHG-100 [g]	USA	2019	-50e-9	True
GHG-100 [g]	USA	2020	-50e-9	True
GHG-100 [g]	USA	2021	-50e-9	True
GHG-100 [g]	USA	2022	-50e-9	True
GHG-100 [g]	USA	2023	-50e-9	True
GHG-100 [g]	USA	2024	-50e-9	True
GHG-100 [g]	USA	2025	-50e-9	True
GHG-100 [g]	USA	2026	-50e-9	True
GHG-100 [g]	USA	2027	-50e-9	True
GHG-100 [g]	USA	2028	-50e-9	True
GHG-100 [g]	USA	2029	-50e-9	True
GHG-100 [g]	USA	2030	-50e-9	True
GHG-100 [g]	USA	2031	-50e-9	True
GHG-100 [g]	USA	2032	-50e-9	True
GHG-100 [g]	USA	2033	-50e-9	True
GHG-100 [g]	USA	2034	-50e-9	True
GHG-100 [g]	USA	2035	-50e-9	True
GHG-100 [g]	USA	2036	-50e-9	True
GHG-100 [g]	USA	2037	-50e-9	True
GHG-100 [g]	USA	2038	-50e-9	True
GHG-100 [g]	USA	2039	-50e-9	True
GHG-100 [g]	USA	2040	-50e-9	True
GHG-100 [g]	USA	2041	-50e-9	True
GHG-100 [g]	USA	2042	-50e-9	True
GHG-100 [g]	USA	2043	-50e-9	True
GHG-100 [g]	USA	2044	-50e-9	True
GHG-100 [g]	USA	2045	-50e-9	True
GHG-100 [g]	USA	2046	-50e-9	True
GHG-100 [g]	USA	2047	-50e-9	True
GHG-100 [g]	USA	2048	-50e-9	True
GHG-100 [g]	USA	2049	-50e-9	True
GHG-100 [g]	USA	2050	-50e-9	True
