Material	Year	Price [$/unit]	Zone	Billable?	Quantity [unit]	Old Price [$/unit]
Diesel [gal]	2050	25.498831113	Canada	True	Infinity	5.0997662226
Diesel [gal]	2049	25.2854165655	Canada	True	Infinity	5.0570833131
Diesel [gal]	2048	25.0976802025	Canada	True	Infinity	5.0195360405
Diesel [gal]	2047	25.09868563	Canada	True	Infinity	5.019737126
Diesel [gal]	2046	24.816984119	Canada	True	Infinity	4.9633968238
Diesel [gal]	2045	24.6899021065	Canada	True	Infinity	4.9379804213
Diesel [gal]	2044	24.5856879975	Canada	True	Infinity	4.9171375995
Diesel [gal]	2043	24.553591764	Canada	True	Infinity	4.9107183528
Diesel [gal]	2042	24.5582134365	Canada	True	Infinity	4.9116426873
Diesel [gal]	2041	24.6135194745	Canada	True	Infinity	4.9227038949
Diesel [gal]	2040	24.56255586	Canada	True	Infinity	4.912511172
Diesel [gal]	2039	24.4461176805	Canada	True	Infinity	4.8892235361
Diesel [gal]	2038	24.1855892255	Canada	True	Infinity	4.8371178451
Diesel [gal]	2037	24.1123734225	Canada	True	Infinity	4.8224746845
Diesel [gal]	2036	24.081264928	Canada	True	Infinity	4.8162529856
Diesel [gal]	2035	23.671344593	Canada	True	Infinity	4.7342689186
Diesel [gal]	2034	23.532235213	Canada	True	Infinity	4.7064470426
Diesel [gal]	2033	23.280794955	Canada	True	Infinity	4.656158991
Diesel [gal]	2032	23.266252401	Canada	True	Infinity	4.6532504802
Diesel [gal]	2031	22.89950635	Canada	True	Infinity	4.57990127
Diesel [gal]	2030	22.5791266545	Canada	True	Infinity	4.5158253309
Diesel [gal]	2029	22.1875539875	Canada	True	Infinity	4.4375107975
Diesel [gal]	2028	21.9436606655	Canada	True	Infinity	4.3887321331
Diesel [gal]	2027	21.878635885	Canada	True	Infinity	4.375727177
Diesel [gal]	2026	21.634616433	Canada	True	Infinity	4.3269232866
Diesel [gal]	2025	21.336564751	Canada	True	Infinity	4.2673129502
Diesel [gal]	2024	20.8382030915	Canada	True	Infinity	4.1676406183
Diesel [gal]	2023	20.6040896865	Canada	True	Infinity	4.1208179373
Diesel [gal]	2022	20.330819568	Canada	True	Infinity	4.0661639136
Diesel [gal]	2021	19.7548675265	Canada	True	Infinity	3.9509735053
Diesel [gal]	2020	19.2795731425	Canada	True	Infinity	3.8559146285
Diesel [gal]	2019	18.644848442	Canada	True	Infinity	3.7289696884
Diesel [gal]	2018	17.5628671155	Canada	True	Infinity	3.5125734231
Diesel [gal]	2017	15.9277009515	Canada	True	Infinity	3.1855401903
Diesel [gal]	2016	13.9935371045	Canada	True	Infinity	2.7987074209
Diesel [gal]	2015	16.711311731	Canada	True	Infinity	3.3422623462
Electricity (Industrial) [kWh]	2015	0.2802624	WECC-ExCA	True	Infinity	0.05605248
Electricity (Industrial) [kWh]	2016	0.30356825	WECC-ExCA	True	Infinity	0.06071365
Electricity (Industrial) [kWh]	2017	0.2948834	WECC-ExCA	True	Infinity	0.05897668
Electricity (Industrial) [kWh]	2018	0.26752305	WECC-ExCA	True	Infinity	0.05350461
Electricity (Industrial) [kWh]	2019	0.2573489	WECC-ExCA	True	Infinity	0.05146978
