Network ID	Year	Fueling-Station Demand [kg]	Non-Fueling-Station Demand [kg]	Geometry [WKT]	Period
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2037	1466.09	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2038	3759.56	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2039	7064.24	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2040	11823.2	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2041	18568	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2042	28139.8	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2043	37585	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2044	49600.6	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2045	64748	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2046	84104.8	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2047	108909	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2048	140420	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2049	180918	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2050	233102	0	POINT(-76.30331767 39.51115924)	Year
00280 | Abilene, TX	2041	368.264	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2042	936.583	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2043	1794.18	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2044	3057.52	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2045	4911.7	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2046	7548.92	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2047	10229.1	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2048	13612.6	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2049	17863.3	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2050	23124	0	POINT(-99.74648713 32.42833222)	Year
00577 | Adrian, MI	2048	132.318	0	POINT(-84.01031815 41.94076134)	Year
00577 | Adrian, MI	2049	327.382	0	POINT(-84.01031815 41.94076134)	Year
00577 | Adrian, MI	2050	605.304	0	POINT(-84.01031815 41.94076134)	Year
00766 | Akron, OH	2043	2013.18	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2044	5101.38	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2045	9723.76	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2046	16458	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2047	26206.3	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2048	39834.7	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2049	53217.7	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2050	69572.6	0	POINT(-81.49284125 41.06626469)	Year
00820 | Alamogordo, NM	2040	86.4142	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2041	220.028	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2042	422.301	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2043	721.145	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2044	1162.12	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2045	1793.03	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2046	2442.03	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2047	3269.76	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2048	4325.97	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2049	5655.29	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2050	7278.27	0	POINT(-105.949215 32.90246623)	Year
00901 | Albany, GA	2050	141.574	0	POINT(-84.16985623 31.59122777)	Year
00955 | Albany, OR	2041	175.543	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2042	444.892	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2043	825.535	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2044	1364.94	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2045	2121.09	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2046	3188.27	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2047	4237.54	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2048	5587.42	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2049	7314.1	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2050	9559.51	0	POINT(-123.0906807 44.63237704)	Year
00970 | Albany--Schenectady, NY	2028	5814.34	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2029	14971.1	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2030	28490.5	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2031	48447.7	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2032	77527.6	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2033	120317	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2034	165633	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2035	225395	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2036	303696	0	POINT(-73.79843198 42.74594498)	Year
