Infrastructure ID	Network ID	Year	Capacity [kg/yr]	Yield [upstream/kg]	Cost [$/kg]	Old Cost [$/kg] (before variable costs were used)	Update_information	capacity_information	Technology	Period
SMR1	@ Anacortes, WA	2016	905392.085	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR2	@ Anniston, AL	2016	83837.14511	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR3	@ Ardmore, OK	2016	6725755.814	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR4	@ Artesia, NM	2016	1164058.638	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR5	@ Ashtabula, OH	2016	155222.2688	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR6	@ Augusta, GA	2016	4203556.88	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR7	@ Bakersfield, CA	2016	3841425.469	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR8	@ Baton Rouge, LA	2016	2263494.908	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR9	@ Bay City, TX	2016	2069467.623	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR10	@ Bayport, TX	2016	12934157.95	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR11	@ Baytown, TX	2016	20048021.24	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR12	@ Beaumont, TX	2016	6402430.154	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR13	@ Belle Chasse, LA	2016	1345151.163	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR14	@ Belle, WV	2016	388001.6669	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR15	@ Belvidere, NJ	2016	55873.55085	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR16	@ Benicia, CA	2016	17008417.19	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR17	@ Billings, MT	2016	15637449.41	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR18	@ Blaine, WA	2016	17396349.79	0	0	2.227980288	updated to match IHS report and H2atScale	Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR19	@ Borger, TX	2016	6079050.856	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR20	@ Bradley, IL	2016	143521.1747	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR21	@ Brorger, TX	2016	12934172.64	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR22	@ Burkville, AL	2016	323379.298	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR23	@ Butler, IN	2016	232833.0358	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR24	@ Butte, MT	2016	37248.78898	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR25	@ Calvert City, KY	2016	982966.1139	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR26	@ Carson, CA	2016	34275336.64	0	0	2.227980288	updated to match IHS report and H2atScale	Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR27	@ Catlettsburg, KY	2016	4397638.537	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR28	@ Cedar City, UT	2016	51740.51134	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR29	@ Channelview, TX	2016	15521032.89	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR30	@ Charleston, TN	2016	944214.0007	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR31	@ Charlotte, NC	2016	62099.92895	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR32	@ Chattanooga, TN	2016	93122.33983	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR33	@ Cherry Point, WA	2016	5690999.291	0	0	2.227980288	updated to match IHS report and H2atScale	Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR34	@ Cheyenne, WY	2016	711380.9649	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR35	@ Cincinnati, OH	2016	297509.0423	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR36	@ Coffeyville, KS	2016	2845524.594	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR37	@ Columbus, MS	2016	1668530.461	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR38	@ Commerce City, CO	2016	3362877.54	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR39	@ Convent, LA	2016	8872834.204	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR40	@ Conway, KS	2016	24582.21687	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR41	@ Corpus Christi, TX	2016	52266979.01	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR42	@ Cotton Valley, LA	2016	646758.596	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR43	@ Crawfordsville, IN	2016	2726531.264	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR44	@ Dallas, TX	2016	107345.8738	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR45	@ Decatur, AL	2016	7068296.251	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR46	@ Decatur, IL	2016	2670630.758	0	0	2.227980288	updated to match IHS report and H2atScale	Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR47	@ Decatur, IN	2016	258703.2915	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR48	@ Deepwater, NJ	2016	776056.9715	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR49	@ Deer Park, TX	2016	11653682.79	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR50	@ Delaware City, DE	2016	5199565.765	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR51	@ Des Moines, IA	2016	194028.0197	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR52	@ Detroit, MI	2016	7760516.077	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR53	@ East Chicago, IN	2016	1487429.854	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR54	@ Eastover, SC	2016	685510.7092	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR55	@ Ecorse, MI	2016	186252.0273	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR56	@ El Dorado, AR	2016	3233526.261	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
SMR57	@ El Dorado, KS	2016	7113757.481	0	0	2.227980288		Assumed 15% unused capacity at the plant. Used 423.3 scf/kg to convert scf to kg. Price = 0.514USD(2014)/100scf.	Existing or Planned SMR (no CCS)	Year
